driver_name,trip_id,pickup_zone,amount
Bob,T00127,Manhattan,16.78
Fatima,T00128,Manhattan,72.32
Bob,T00129,Staten Island,14.0
Ethan,T00130,Brooklyn,73.0
Carlos,T00131,Staten Island,41.99
Diana,T00132,Staten Island,62.55
Fatima,T00133,Bronx,17.21
Ethan,T00134,Brooklyn,30.22
Bob,T00135,Queens,70.05
Fatima,T00136,Queens,9.25
George,T00137,Bronx,15.3
Ethan,T00138,Queens,54.06
Carlos,T00139,Staten Island,8.73
Ethan,T00140,Manhattan,72.91
Fatima,T00141,Brooklyn,64.08
Carlos,T00142,Manhattan,16.71
Alice,T00143,Bronx,44.39
George,T00144,Staten Island,28.66
George,T00145,Manhattan,18.76
Carlos,T00146,Queens,50.04
Alice,T00147,Staten Island,13.01
Bob,T00148,Queens,31.6
Julia,T00149,Staten Island,31.07
Diana,T00150,Brooklyn,9.82
Alice,T00151,Staten Island,19.45
Diana,T00152,Bronx,20.21
George,T00153,Queens,52.1
George,T00154,Brooklyn,20.1
Ivan,T00155,Brooklyn,8.93
Bob,T00156,Queens,68.16
Fatima,T00157,Staten Island,10.36
Alice,T00158,Brooklyn,19.79
Fatima,T00159,Queens,34.57
Alice,T00160,Brooklyn,19.71
Ivan,T00161,Queens,40.98
Ivan,T00162,Queens,13.06
Ethan,T00163,Manhattan,62.68
Hana,T00164,Manhattan,65.11
Alice,T00165,Queens,68.55
Diana,T00166,Staten Island,37.02
Alice,T00167,Manhattan,32.27
Carlos,T00168,Brooklyn,71.09
Diana,T00169,Manhattan,66.1
Carlos,T00170,Staten Island,45.33
Ivan,T00171,Bronx,73.03
Carlos,T00172,Bronx,72.11
Hana,T00173,Brooklyn,37.2
Hana,T00174,Bronx,10.8
Hana,T00175,Manhattan,17.73
Alice,T00176,Brooklyn,61.69
Carlos,T00177,Brooklyn,57.92
Bob,T00178,Manhattan,10.63
Ivan,T00179,Queens,53.76
Ethan,T00180,Manhattan,30.1
Bob,T00181,Manhattan,72.39
Fatima,T00182,Queens,71.61
Diana,T00183,Queens,53.09
George,T00184,Queens,29.68
Julia,T00185,Queens,44.41
Ivan,T00186,Brooklyn,66.39
Diana,T00187,Queens,31.86
Ethan,T00188,Staten Island,13.72
Hana,T00189,Manhattan,36.78
Carlos,T00190,Queens,74.07
Diana,T00191,Brooklyn,46.33
Diana,T00192,Queens,39.94
Ivan,T00193,Staten Island,74.45
Diana,T00194,Bronx,55.71
Julia,T00195,Bronx,35.18
Alice,T00196,Manhattan,30.66
Julia,T00197,Brooklyn,29.05
Carlos,T00198,Bronx,42.9
Ethan,T00199,Staten Island,70.77
Julia,T00200,Staten Island,54.33
Diana,T00201,Bronx,74.44
George,T00202,Manhattan,64.21
Bob,T00203,Queens,34.99
George,T00204,Brooklyn,38.67
Ivan,T00205,Staten Island,9.59
George,T00206,Queens,37.25
Diana,T00207,Bronx,22.02
Ethan,T00208,Queens,49.0
Julia,T00209,Queens,57.52
Diana,T00210,Brooklyn,55.77
Carlos,T00211,Brooklyn,41.02
Julia,T00212,Brooklyn,71.49
Fatima,T00213,Brooklyn,39.38
Carlos,T00214,Manhattan,58.69
Carlos,T00215,Bronx,12.39
George,T00216,Brooklyn,15.68
Fatima,T00217,Manhattan,43.34
Hana,T00218,Manhattan,65.43
Alice,T00219,Manhattan,27.79
Hana,T00220,Manhattan,53.17
George,T00221,Brooklyn,72.51
Ivan,T00222,Bronx,22.19
Diana,T00223,Brooklyn,64.41
Julia,T00224,Staten Island,43.24
George,T00225,Bronx,32.18
Ivan,T00226,Bronx,53.51
Fatima,T00227,Brooklyn,16.02
Carlos,T00228,Brooklyn,17.5
Julia,T00229,Queens,62.77
Carlos,T00230,Brooklyn,52.02
Hana,T00231,Queens,9.31
Alice,T00232,Queens,69.51
Fatima,T00233,Manhattan,69.12
Carlos,T00234,Manhattan,60.17
Hana,T00235,Queens,31.35
Alice,T00236,Queens,61.38
Ethan,T00237,Manhattan,34.02
Bob,T00238,Staten Island,58.82
Ethan,T00239,Bronx,37.18
Carlos,T00240,Brooklyn,39.47
Ethan,T00241,Manhattan,63.35
Ivan,T00242,Manhattan,42.77
Diana,T00243,Brooklyn,44.93
Bob,T00244,Manhattan,14.43
Ethan,T00245,Queens,44.78
Ivan,T00246,Manhattan,27.89
Ivan,T00247,Queens,70.71
Ethan,T00248,Queens,39.82
Carlos,T00249,Queens,30.07
Julia,T00250,Bronx,32.85
Julia,T00251,Staten Island,8.75
Alice,T00252,Manhattan,49.16
Carlos,T00253,Brooklyn,13.73
Ivan,T00254,Staten Island,28.83
Julia,T00255,Manhattan,17.88
Bob,T00256,Bronx,42.13
Ivan,T00257,Queens,47.33
Diana,T00258,Queens,46.04
Bob,T00259,Brooklyn,31.21
Diana,T00260,Manhattan,20.39
Carlos,T00261,Brooklyn,18.79
Fatima,T00262,Staten Island,65.19
Carlos,T00263,Brooklyn,47.27
Ethan,T00264,Brooklyn,33.12
Hana,T00265,Bronx,33.83
Ivan,T00266,Manhattan,15.36
Carlos,T00267,Manhattan,63.4
George,T00268,Bronx,60.13
Julia,T00269,Brooklyn,62.64
Ivan,T00270,Queens,13.6
Alice,T00271,Staten Island,30.6
Alice,T00272,Staten Island,61.96
Ethan,T00273,Manhattan,70.11
Ivan,T00274,Staten Island,73.19
George,T00275,Brooklyn,38.71
Hana,T00276,Bronx,27.89
Diana,T00277,Brooklyn,33.68
Alice,T00278,Staten Island,64.53
George,T00279,Staten Island,22.98
Diana,T00280,Manhattan,27.14
Ethan,T00281,Manhattan,21.81
Ivan,T00282,Bronx,54.1
Fatima,T00283,Brooklyn,8.9
Alice,T00284,Staten Island,49.4
Hana,T00285,Staten Island,34.29
Fatima,T00286,Queens,34.01
Fatima,T00287,Manhattan,34.1
Hana,T00288,Staten Island,16.8
Fatima,T00289,Bronx,23.63
Carlos,T00290,Brooklyn,64.26
Julia,T00291,Brooklyn,29.29
Hana,T00292,Bronx,58.03
George,T00293,Bronx,71.89
Julia,T00294,Brooklyn,35.55
George,T00295,Manhattan,35.57
George,T00296,Brooklyn,8.32
Bob,T00297,Manhattan,58.11
Carlos,T00298,Queens,66.08
George,T00299,Bronx,74.25
Diana,T00300,Staten Island,37.39
Bob,T00301,Manhattan,41.46
Bob,T00302,Brooklyn,55.59
Diana,T00303,Queens,50.63
Ethan,T00304,Bronx,46.31
Hana,T00305,Manhattan,59.19
Diana,T00306,Queens,72.84
Ethan,T00307,Queens,9.55
Ivan,T00308,Queens,23.31
Diana,T00309,Brooklyn,43.6
Hana,T00310,Staten Island,54.25
Ethan,T00311,Manhattan,40.61
Fatima,T00312,Manhattan,46.62
Ivan,T00313,Manhattan,67.9
Diana,T00314,Queens,54.57
Fatima,T00315,Queens,15.15
Ethan,T00316,Brooklyn,12.55
Carlos,T00317,Queens,71.33
Hana,T00318,Staten Island,41.15
Diana,T00319,Manhattan,40.63
Julia,T00320,Brooklyn,26.2
Diana,T00321,Bronx,32.9
George,T00322,Staten Island,40.37
Diana,T00323,Bronx,66.92
Fatima,T00324,Staten Island,29.38
Diana,T00325,Queens,10.38
Julia,T00326,Staten Island,63.99
Alice,T00327,Queens,55.54
Fatima,T00328,Staten Island,19.68
Alice,T00329,Bronx,74.54
Fatima,T00330,Bronx,65.2
Alice,T00331,Bronx,17.97
Julia,T00332,Brooklyn,72.83
Alice,T00333,Staten Island,60.69
Carlos,T00334,Queens,53.08
Ivan,T00335,Bronx,64.43
Julia,T00336,Bronx,45.95
Julia,T00337,Staten Island,66.31
Julia,T00338,Queens,11.2
George,T00339,Brooklyn,69.79
Alice,T00340,Staten Island,25.63
George,T00341,Brooklyn,26.1
Hana,T00342,Staten Island,72.27
Alice,T00343,Queens,47.5
Carlos,T00344,Manhattan,15.13
George,T00345,Manhattan,63.58
Carlos,T00346,Staten Island,11.77
Bob,T00347,Staten Island,47.57
Carlos,T00348,Brooklyn,67.7
Carlos,T00349,Manhattan,25.99
George,T00350,Bronx,60.86
Fatima,T00351,Queens,30.52
Alice,T00352,Brooklyn,39.74
Bob,T00353,Brooklyn,72.66
Bob,T00354,Manhattan,68.34
George,T00355,Queens,70.16
George,T00356,Queens,25.94
Fatima,T00357,Manhattan,34.12
Julia,T00358,Brooklyn,16.43
Ethan,T00359,Bronx,43.44
Bob,T00360,Manhattan,32.2
Ethan,T00361,Queens,37.43
Diana,T00362,Manhattan,28.61
Ethan,T00363,Staten Island,53.41
Carlos,T00364,Staten Island,71.96
Bob,T00365,Queens,11.64
Carlos,T00366,Bronx,65.57
Alice,T00367,Queens,33.65
George,T00368,Queens,20.21
Diana,T00369,Bronx,59.39
George,T00370,Bronx,25.7
Fatima,T00371,Brooklyn,54.25
Bob,T00372,Brooklyn,21.24
Alice,T00373,Staten Island,36.13
Ivan,T00374,Staten Island,74.87
Ivan,T00375,Manhattan,47.61
Julia,T00376,Brooklyn,43.9
Fatima,T00377,Manhattan,57.25
Alice,T00378,Manhattan,57.61
Alice,T00379,Brooklyn,58.92
Julia,T00380,Staten Island,31.29
Carlos,T00381,Queens,41.09
Diana,T00382,Brooklyn,60.74
Bob,T00383,Manhattan,62.7
Julia,T00384,Staten Island,53.17
Alice,T00385,Bronx,52.56
Ivan,T00386,Staten Island,15.65
George,T00387,Manhattan,39.37
Fatima,T00388,Manhattan,48.6
Alice,T00389,Manhattan,68.35
Ethan,T00390,Queens,12.24
Hana,T00391,Staten Island,16.0
Hana,T00392,Queens,13.11
Bob,T00393,Queens,60.82
Ethan,T00394,Queens,26.02
Ivan,T00395,Brooklyn,26.36
Alice,T00396,Bronx,61.43
Ethan,T00397,Brooklyn,11.4
Ivan,T00398,Bronx,34.21
Ethan,T00399,Manhattan,40.89
Alice,T00400,Staten Island,48.53
George,T00401,Brooklyn,29.89
Carlos,T00402,Brooklyn,20.88
George,T00403,Bronx,41.01
George,T00404,Queens,25.67
Carlos,T00405,Staten Island,55.11
Hana,T00406,Brooklyn,72.43
Ivan,T00407,Staten Island,46.2
Bob,T00408,Queens,35.53
Hana,T00409,Staten Island,46.92
George,T00410,Brooklyn,61.82
Diana,T00411,Bronx,47.82
Alice,T00412,Queens,25.17
Ethan,T00413,Queens,51.94
Carlos,T00414,Manhattan,15.86
Fatima,T00415,Staten Island,12.3
Diana,T00416,Queens,74.26
Carlos,T00417,Manhattan,71.18
Diana,T00418,Brooklyn,53.67
Carlos,T00419,Staten Island,68.4
Alice,T00420,Brooklyn,52.22
Fatima,T00421,Brooklyn,53.0
George,T00422,Bronx,54.25
Ivan,T00423,Bronx,45.53
Julia,T00424,Queens,43.15
Fatima,T00425,Manhattan,35.33
Ethan,T00426,Brooklyn,31.72
Diana,T00427,Manhattan,72.36
Diana,T00428,Manhattan,64.24
Fatima,T00429,Brooklyn,49.46
Ethan,T00430,Brooklyn,53.98
Hana,T00431,Queens,15.32
Ethan,T00432,Queens,50.73
Alice,T00433,Bronx,40.56
George,T00434,Bronx,52.73
Ivan,T00435,Manhattan,37.43
Diana,T00436,Brooklyn,17.62
Bob,T00437,Queens,27.61
Ethan,T00438,Bronx,59.38
Ivan,T00439,Staten Island,65.87
Ethan,T00440,Staten Island,66.64
Hana,T00441,Manhattan,66.63
Hana,T00442,Manhattan,41.85
Alice,T00443,Brooklyn,13.34
Fatima,T00444,Brooklyn,62.98
Diana,T00445,Staten Island,48.08
Diana,T00446,Queens,62.95
Fatima,T00447,Staten Island,57.37
Diana,T00448,Staten Island,36.46
Ethan,T00449,Brooklyn,14.69
Carlos,T00450,Manhattan,9.87
Julia,T00451,Brooklyn,16.08
Ivan,T00452,Staten Island,68.2
Julia,T00453,Staten Island,37.2
Ivan,T00454,Bronx,64.06
Bob,T00455,Manhattan,31.41
Alice,T00456,Manhattan,46.95
Carlos,T00457,Manhattan,31.42
Bob,T00458,Queens,26.8
George,T00459,Staten Island,16.93
Julia,T00460,Manhattan,12.0
Ivan,T00461,Staten Island,11.78
Bob,T00462,Bronx,39.91
Carlos,T00463,Queens,63.38
Ethan,T00464,Queens,41.85
Diana,T00465,Staten Island,30.05
Ivan,T00466,Brooklyn,21.19
Bob,T00467,Brooklyn,63.41
Bob,T00468,Bronx,59.05
Julia,T00469,Staten Island,66.33
Bob,T00470,Brooklyn,39.21
Hana,T00471,Brooklyn,39.03
Ethan,T00472,Staten Island,21.27
Ivan,T00473,Bronx,22.95
Ivan,T00474,Staten Island,49.64
Bob,T00475,Bronx,27.12
Fatima,T00476,Bronx,43.73
Carlos,T00477,Bronx,40.47
Diana,T00478,Staten Island,20.61
Hana,T00479,Manhattan,44.62
Julia,T00480,Staten Island,54.7
Diana,T00481,Manhattan,32.45
Julia,T00482,Manhattan,64.49
Carlos,T00483,Brooklyn,33.41
Fatima,T00484,Brooklyn,16.06
Diana,T00485,Brooklyn,68.56
Ivan,T00486,Manhattan,38.63
Julia,T00487,Manhattan,38.95
Julia,T00488,Manhattan,44.43
Ivan,T00489,Queens,61.49
Hana,T00490,Staten Island,18.47
Ethan,T00491,Staten Island,42.08
Carlos,T00492,Queens,9.1
Julia,T00493,Brooklyn,11.09
Fatima,T00494,Manhattan,8.77
Hana,T00495,Staten Island,8.46
Carlos,T00496,Bronx,70.5
Bob,T00497,Queens,47.4
Ethan,T00498,Bronx,56.36
Ivan,T00499,Bronx,53.25
Alice,T00500,Queens,27.49
Julia,T00501,Queens,21.64
Fatima,T00502,Manhattan,19.8
Alice,T00503,Staten Island,22.21
Alice,T00504,Queens,31.14
Julia,T00505,Bronx,61.79
Ethan,T00506,Queens,37.67
Alice,T00507,Staten Island,68.79
Fatima,T00508,Queens,57.68
Ethan,T00509,Manhattan,45.7
George,T00510,Manhattan,22.18
Hana,T00511,Staten Island,65.72
Fatima,T00512,Staten Island,38.22
Julia,T00513,Staten Island,26.87
George,T00514,Brooklyn,28.74
Ethan,T00515,Staten Island,57.53
Ivan,T00516,Bronx,71.92
George,T00517,Staten Island,55.92
George,T00518,Queens,32.39
Carlos,T00519,Brooklyn,20.68
Diana,T00520,Brooklyn,15.72
Ethan,T00521,Manhattan,19.67
Julia,T00522,Bronx,55.48
Ivan,T00523,Manhattan,70.5
Bob,T00524,Staten Island,19.52
Ivan,T00525,Bronx,67.49
Carlos,T00526,Queens,36.94
Ethan,T00527,Manhattan,30.5
George,T00528,Queens,44.64
Julia,T00529,Staten Island,46.75
Alice,T00530,Bronx,25.73
Ethan,T00531,Staten Island,21.9
Alice,T00532,Staten Island,70.33
Bob,T00533,Brooklyn,64.8
Bob,T00534,Manhattan,26.33
Julia,T00535,Staten Island,54.13
Carlos,T00536,Bronx,70.63
Hana,T00537,Queens,73.04
Ethan,T00538,Bronx,32.31
Diana,T00539,Brooklyn,58.75
Ivan,T00540,Queens,55.61
Ethan,T00541,Staten Island,30.76
Alice,T00542,Manhattan,11.64
Bob,T00543,Brooklyn,48.16
Bob,T00544,Bronx,15.47
Bob,T00545,Queens,70.03
Ethan,T00546,Brooklyn,63.82
Ethan,T00547,Brooklyn,19.04
Fatima,T00548,Queens,26.17
Carlos,T00549,Brooklyn,22.9
George,T00550,Staten Island,71.55
Bob,T00551,Brooklyn,45.24
Fatima,T00552,Staten Island,15.74
Bob,T00553,Staten Island,11.24
George,T00554,Staten Island,53.8
Carlos,T00555,Bronx,18.65
George,T00556,Bronx,34.09
George,T00557,Bronx,18.8
Ethan,T00558,Manhattan,68.03
Alice,T00559,Queens,54.21
George,T00560,Brooklyn,15.17
Alice,T00561,Bronx,67.98
Alice,T00562,Bronx,19.96
Ethan,T00563,Bronx,57.95
Diana,T00564,Staten Island,60.32
Alice,T00565,Queens,43.6
Bob,T00566,Bronx,28.91
Hana,T00567,Manhattan,24.0
Bob,T00568,Queens,31.23
Alice,T00569,Brooklyn,15.89
Ivan,T00570,Bronx,63.92
Alice,T00571,Bronx,56.12
Alice,T00572,Manhattan,16.79
Hana,T00573,Brooklyn,52.16
Fatima,T00574,Staten Island,21.46
Carlos,T00575,Bronx,54.94
Carlos,T00576,Bronx,65.89
Bob,T00577,Manhattan,33.74
George,T00578,Staten Island,36.76
Julia,T00579,Brooklyn,37.7
Ethan,T00580,Manhattan,36.03
Julia,T00581,Manhattan,26.93
Hana,T00582,Queens,62.88
Carlos,T00583,Brooklyn,38.61
Fatima,T00584,Brooklyn,34.72
Hana,T00585,Queens,56.69
Carlos,T00586,Manhattan,27.57
Ivan,T00587,Staten Island,36.42
Ethan,T00588,Manhattan,66.98
Hana,T00589,Staten Island,40.88
Fatima,T00590,Bronx,30.48
Carlos,T00591,Manhattan,18.01
Ivan,T00592,Queens,54.12
Alice,T00593,Brooklyn,40.74
Bob,T00594,Bronx,26.18
Julia,T00595,Brooklyn,33.45
Hana,T00596,Brooklyn,22.62
Carlos,T00597,Staten Island,27.26
Carlos,T00598,Staten Island,46.01
Alice,T00599,Brooklyn,43.9
Hana,T00600,Bronx,9.03
Bob,T00601,Manhattan,69.23
Carlos,T00602,Staten Island,22.66
Carlos,T00603,Bronx,59.77
Ethan,T00604,Brooklyn,11.22
Bob,T00605,Staten Island,18.51
Ivan,T00606,Bronx,45.12
Fatima,T00607,Bronx,22.53
Bob,T00608,Bronx,45.22
Ivan,T00609,Queens,40.09
Diana,T00610,Manhattan,53.69
Julia,T00611,Brooklyn,27.75
Fatima,T00612,Queens,73.27
Ivan,T00613,Staten Island,68.72
Alice,T00614,Bronx,47.29
George,T00615,Bronx,54.36
Carlos,T00616,Queens,59.56
George,T00617,Brooklyn,29.38
Diana,T00618,Brooklyn,70.69
Carlos,T00619,Staten Island,35.09
Hana,T00620,Queens,27.95
Ivan,T00621,Manhattan,57.93
Hana,T00622,Brooklyn,57.89
Fatima,T00623,Bronx,55.15
Ivan,T00624,Queens,31.14
Julia,T00625,Bronx,31.94
Ethan,T00626,Queens,63.67
Fatima,T00627,Manhattan,41.96
Carlos,T00628,Manhattan,8.01
Alice,T00629,Queens,41.38
Alice,T00630,Bronx,51.34
Julia,T00631,Brooklyn,51.59
Carlos,T00632,Queens,33.07
Bob,T00633,Brooklyn,28.9
Hana,T00634,Bronx,34.25
Diana,T00635,Brooklyn,59.76
Hana,T00636,Staten Island,71.52
George,T00637,Staten Island,49.87
Hana,T00638,Queens,65.81
Bob,T00639,Brooklyn,67.48
Hana,T00640,Staten Island,36.14
Ivan,T00641,Staten Island,34.09
Julia,T00642,Brooklyn,52.93
Ethan,T00643,Staten Island,44.7
Hana,T00644,Bronx,14.06
Ethan,T00645,Staten Island,14.67
Hana,T00646,Queens,59.61
George,T00647,Staten Island,67.84
Ivan,T00648,Manhattan,13.65
Bob,T00649,Queens,20.17
Ivan,T00650,Queens,37.19
Hana,T00651,Manhattan,71.65
Ivan,T00652,Bronx,11.07
Julia,T00653,Brooklyn,39.74
Fatima,T00654,Bronx,17.51
Hana,T00655,Queens,59.97
Ethan,T00656,Staten Island,40.83
Bob,T00657,Queens,31.06
Fatima,T00658,Queens,29.5
Carlos,T00659,Queens,16.07
Ivan,T00660,Brooklyn,36.69
Bob,T00661,Queens,74.21
Carlos,T00662,Bronx,29.35
Ivan,T00663,Manhattan,25.74
Diana,T00664,Brooklyn,25.25
Bob,T00665,Staten Island,25.59
Ethan,T00666,Manhattan,10.84
Alice,T00667,Brooklyn,47.26
Alice,T00668,Queens,37.79
George,T00669,Bronx,39.33
Alice,T00670,Staten Island,53.84
Ivan,T00671,Bronx,55.37
Diana,T00672,Brooklyn,36.48
Ivan,T00673,Bronx,11.7
Hana,T00674,Staten Island,26.5
George,T00675,Brooklyn,36.69
Hana,T00676,Manhattan,27.32
George,T00677,Brooklyn,24.7
Carlos,T00678,Queens,54.47
Diana,T00679,Manhattan,14.99
George,T00680,Brooklyn,68.33
Carlos,T00681,Queens,15.24
Alice,T00682,Staten Island,71.53
Ivan,T00683,Staten Island,58.8
Bob,T00684,Staten Island,44.18
Ivan,T00685,Manhattan,31.4
Alice,T00686,Bronx,20.27
Diana,T00687,Staten Island,71.29
George,T00688,Queens,15.01
George,T00689,Bronx,27.86
Diana,T00690,Manhattan,47.21
Julia,T00691,Manhattan,26.27
Hana,T00692,Bronx,21.52
Ivan,T00693,Bronx,33.8
Diana,T00694,Manhattan,26.17
Carlos,T00695,Staten Island,63.8
Bob,T00696,Brooklyn,41.36
Ivan,T00697,Manhattan,24.88
Carlos,T00698,Queens,26.19
Diana,T00699,Staten Island,20.55
Ethan,T00700,Brooklyn,73.43
George,T00701,Queens,15.19
Ethan,T00702,Brooklyn,10.09
Alice,T00703,Manhattan,48.1
Ethan,T00704,Bronx,36.35
Ethan,T00705,Bronx,60.72
Bob,T00706,Queens,74.86
Diana,T00707,Queens,69.59
Carlos,T00708,Staten Island,72.42
Hana,T00709,Queens,32.58
Ethan,T00710,Manhattan,72.93
Diana,T00711,Bronx,46.43
George,T00712,Staten Island,34.41
Ivan,T00713,Manhattan,47.49
George,T00714,Brooklyn,31.52
Julia,T00715,Staten Island,70.62
Fatima,T00716,Manhattan,16.85
Ivan,T00717,Staten Island,19.6
George,T00718,Brooklyn,72.97
Julia,T00719,Brooklyn,68.89
George,T00720,Bronx,15.54
Fatima,T00721,Queens,43.77
Fatima,T00722,Brooklyn,73.1
Diana,T00723,Queens,42.04
Hana,T00724,Brooklyn,37.87
Fatima,T00725,Manhattan,19.26
Bob,T00726,Bronx,20.38
Hana,T00727,Manhattan,38.08
Ivan,T00728,Queens,30.46
Ivan,T00729,Queens,60.02
Diana,T00730,Bronx,11.23
Bob,T00731,Staten Island,11.76
Fatima,T00732,Staten Island,60.81
Alice,T00733,Staten Island,26.86
Fatima,T00734,Queens,17.07
Bob,T00735,Queens,70.95
George,T00736,Brooklyn,19.53
Diana,T00737,Brooklyn,53.53
Ethan,T00738,Brooklyn,19.27
George,T00739,Staten Island,67.22
Bob,T00740,Bronx,70.89
Diana,T00741,Staten Island,66.82
Bob,T00742,Bronx,67.1
Diana,T00743,Brooklyn,56.34
Hana,T00744,Brooklyn,63.53
Diana,T00745,Queens,44.81
Julia,T00746,Brooklyn,60.25
George,T00747,Bronx,72.85
Hana,T00748,Manhattan,51.75
Julia,T00749,Bronx,18.43
Carlos,T00750,Bronx,70.08
Carlos,T00751,Brooklyn,10.32
Ivan,T00752,Manhattan,71.0
Hana,T00753,Brooklyn,61.04
Alice,T00754,Manhattan,12.71
Carlos,T00755,Brooklyn,26.01
Alice,T00756,Bronx,56.21
Ivan,T00757,Bronx,61.25
Carlos,T00758,Staten Island,29.49
Fatima,T00759,Bronx,57.17
Alice,T00760,Queens,32.93
Alice,T00761,Brooklyn,72.1
Carlos,T00762,Manhattan,65.99
Carlos,T00763,Manhattan,35.73
George,T00764,Queens,10.16
George,T00765,Manhattan,37.43
Ethan,T00766,Brooklyn,54.92
George,T00767,Staten Island,50.73
Ivan,T00768,Brooklyn,16.89
Diana,T00769,Manhattan,58.77
Bob,T00770,Manhattan,57.18
Hana,T00771,Queens,15.13
George,T00772,Staten Island,32.17
Bob,T00773,Staten Island,43.99
Carlos,T00774,Manhattan,36.3
Hana,T00775,Queens,71.07
Bob,T00776,Bronx,73.17
Bob,T00777,Queens,72.76
Diana,T00778,Brooklyn,52.87
Bob,T00779,Brooklyn,57.36
Bob,T00780,Manhattan,51.03
Alice,T00781,Bronx,33.14
Fatima,T00782,Staten Island,20.16
